office_id,official_post,corresponding_id,real_name,honorary_title,party,started_service,ended_service,issues,details
44,Lord Chancellor,2817,Charles Christopher Pepys,Baron Cottenham,Whig,1846/07/06,1850/06/19,N/A,In January 1836 he was raised to the peerage Baron Cottenham.  After retiring he was granted a Viscountcy and Ealrdom as well in 1850. 
44,Lord Chancellor,2817,Charles Christopher Pepys,Lord Cottenham,Whig,1846/07/06,1850/06/19,N/A,In January 1836 he was raised to the peerage Baron Cottenham.  After retiring he was granted a Viscountcy and Ealrdom as well in 1850. 
44,Lord Chancellor,N/A,N/A,N/A,N/A,1850/06/19,1850/07/15,N/A,ask Steph what to do? In Comission
44,Lord Chancellor,3368,Thomas Wilde,Baron Truro,Whig,1850/07/15,1852/02/21,His death date is an issue and there are two rows for him in mps which can be an issue. I checked Hansard I check governemental websites they all differ he either died in 1858 or 1855.,1850 was granted the title Baron Truro as part of becoming Lord Chancellor
44,Lord Chancellor,3368,Thomas Wilde,Lord Truro,Whig,1850/07/15,1852/02/21,His death date is an issue and there are two rows for him in mps which can be an issue. I checked Hansard I check governemental websites they all differ he either died in 1858 or 1855.,1850 was granted the title Baron Truro as part of becoming Lord Chancellor
44,Lord Chancellor,2547,Edward Burtenshaw Sugden,Baron St. Leonards,Conservative,1852/02/27,1852/12/17,N/A,1852 be became Lord High Chancellor of Great Britain and was raised to the peerage as Baron Saint Leonards.
44,Lord Chancellor,3126,Robert Monsey Rolfe,Baron Cranworth,Whig,1852/12/28,1858/02/21,N/A,"Was granted peerange in 1850, the first Baron Cranworth of Cranworth in Norfolk County."
44,Lord Chancellor,3126,Robert Monsey Rolfe,Lord Cranworth,Whig,1852/12/28,1858/02/21,N/A,"Was granted peerange in 1850, the first Baron Cranworth of Cranworth in Norfolk County."
44,Lord Chancellor,3611,Frederic Thesiger,Baron Chelmsford,Conservative,1858/02/26,1859/06/11,N/A,"He won cases in Chelmsford that he attributed to his succeess, so much so that when he was raised to the peerage he chose to be named Chelmsford. Date of Peerage granting unknown."
44,Lord Chancellor,3611,Frederic Thesiger,Lord Chelmsford,Conservative,1858/02/26,1859/06/11,N/A,"He won cases in Chelmsford that he attributed to his succeess, so much so that when he was raised to the peerage he chose to be named Chelmsford. Date of Peerage granting unknown."
44,Lord Chancellor,2622,John Campbell,Baron Campbell,Liberal,1859/06/18,1861/06/24,N/A,The title Baron Campbell was created in 1841 and was granted to John Campbell. (London Gazette)
44,Lord Chancellor,2622,John Campbell,Lord Campbell,Liberal,1859/06/18,1861/06/24,N/A,The title Baron Campbell was created in 1841 and was granted to John Campbell. (London Gazette)
44,Lord Chancellor,4117,Richard Bethell,Baron Westbury,Liberal,1861/06/26,1865/07/07,N/A,He was granted the title Baron Westbury so that he could become Lord Chancellor in 1861.
44,Lord Chancellor,3126,Robert Monsey Rolfe,Baron Cranworth,Liberal,1865/07/07,1866/06/26,N/A,"Was granted peerange in 1850, the first Baron Cranworth of Cranworth in Norfolk County."
44,Lord Chancellor,3126,Robert Monsey Rolfe,Lord Cranworth,Liberal,1865/07/07,1866/06/26,N/A,"Was granted peerange in 1850, the first Baron Cranworth of Cranworth in Norfolk County."
44,Lord Chancellor,3611,Frederic Thesiger,Baron Chelmsford,Conservative,1866/07/06,1868/02/29,N/A,"He won cases in Chelmsford that he attributed to his succeess, so much so that when he was raised to the peerage he chose to be named Chelmsford. Date of Peerage granting unknown."
44,Lord Chancellor,3611,Frederic Thesiger,Lord Chelmsford,Conservative,1866/07/06,1868/02/29,N/A,"He won cases in Chelmsford that he attributed to his succeess, so much so that when he was raised to the peerage he chose to be named Chelmsford. Date of Peerage granting unknown."
44,Lord Chancellor,4149,Hugh McCalmont Cairns,Earl Cairns,Conservative,1868/02/29,1868/12/01,N/A,Was offerred peerage before becoming Lord Chancellor in 1868. So he would be Baron Cairns during his term in office.
44,Lord Chancellor,4149,Hugh McCalmont Cairns,Lord Cairns,Conservative,1868/02/29,1868/12/01,N/A,Was offerred peerage before becoming Lord Chancellor in 1868. So he would be Baron Cairns during his term in office.
44,Lord Chancellor,4000,William Page Wood,Baron Hatherley,Liberal,1868/12/09,1872/10/15,N/A,Raised to the peerage with his appointment as Lord Chancellor in 1868.
44,Lord Chancellor,4000,William Page Wood,Lord Hatherley,Liberal,1868/12/09,1872/10/15,N/A,Raised to the peerage with his appointment as Lord Chancellor in 1868.
44,Lord Chancellor,4004,Roundell Palmer,Baron Selborne,Liberal,1872/10/15,1874/02/17,N/A,"Was granted the title Baron Selborne with his 1st appointment as Lord Chancellor, upon his second appointment he was greated an Earldom and Viscountcy as well in 1882."
44,Lord Chancellor,4149,Hugh McCalmont Cairns,Earl Cairns,Conservative,1874/02/21,1880/04/21,N/A,Was offerred peerage before becoming Lord Chancellor in 1868. So he would be Baron Cairns during his term in office.
44,Lord Chancellor,4149,Hugh Mac-Calmont Cairns,Lord Cairns,Conservative,1874/02/21,1880/04/21,N/A,Was offerred peerage before becoming Lord Chancellor in 1868. So he would be Baron Cairns during his term in office.
44,Lord Chancellor,4004,Roundell Palmer,Baron Selborne,Liberal,1880/04/28,1885/06/09,N/A,"Was granted the title Baron Selborne with his 1st appointment as Lord Chancellor, upon his second appointment he was greated an Earldom and Viscountcy as well in 1882."
44,Lord Chancellor,4004,Roundell Palmer,Viscount Wolmer,Liberal,1880/04/28,1885/06/09,N/A,"Was granted the title Baron Selborne with his 1st appointment as Lord Chancellor, upon his second appointment he was greated an Earldom and Viscountcy as well in 1882."
44,Lord Chancellor,4004,Roundell Palmer,Earl of Selborne,Liberal,1880/04/28,1885/06/09,N/A,"Was granted the title Baron Selborne with his 1st appointment as Lord Chancellor, upon his second appointment he was greated an Earldom and Viscountcy as well in 1882."
44,Lord Chancellor,5579,Hardinge Stanley Giffard,Baron Halsbury,Conservative,1885/06/24,1886/01/28,N/A,"1885 was granted peerage (Baron Halsbury), to be Lord Chancellor. In 1898 he was created Earl of Halsbury and Viscount Tiverton, of Tiverton in the County of Devon."
44,Lord Chancellor,5579,Hardinge Stanley Giffard,Lord Halsbury,Conservative,1885/06/24,1886/01/28,N/A,"1885 was granted peerage (Baron Halsbury), to be Lord Chancellor. In 1898 he was created Earl of Halsbury and Viscount Tiverton, of Tiverton in the County of Devon."
44,Lord Chancellor,5529,Farrer Herschell,Baron Herschell,Liberal,1886/02/06,1886/07/20,N/A,Not sure about when he was raised to the peerage however it may be assumed he was granted peerage when he became Lord Chancellor.
44,Lord Chancellor,5529,Farrer Herschell,Lord Herschell,Liberal,1886/02/06,1886/07/20,N/A,Not sure about when he was raised to the peerage however it may be assumed he was granted peerage when he became Lord Chancellor.
44,Lord Chancellor,5579,Hardinge Stanley Giffard,Baron Halsbury,Conservative,1886/08/03,1892/08/11,N/A,"1885 was granted peerage (Baron Halsbury), to be Lord Chancellor. In 1898 he was created Earl of Halsbury and Viscount Tiverton, of Tiverton in the County of Devon."
44,Lord Chancellor,5579,Hardinge Stanley Giffard,Lord Halsbury,Conservative,1886/08/03,1892/08/11,N/A,"1885 was granted peerage (Baron Halsbury), to be Lord Chancellor. In 1898 he was created Earl of Halsbury and Viscount Tiverton, of Tiverton in the County of Devon."
44,Lord Chancellor,5529,Farrer Herschell,Baron Herschell,Liberal,1892/08/18,1895/06/21,N/A,Not sure about when he was raised to the peerage however it may be assumed he was granted peerage when he became Lord Chancellor.
44,Lord Chancellor,5529,Farrer Herschell,Lord Herschell,Liberal,1892/08/18,1895/06/21,N/A,Not sure about when he was raised to the peerage however it may be assumed he was granted peerage when he became Lord Chancellor.
44,Lord Chancellor,5579,Hardinge Stanley Giffard,Baron Halsbury,Conservative,1895/06/29,1905/12/04,N/A,"1885 was granted peerage (Baron Halsbury), to be Lord Chancellor. In 1898 he was created Earl of Halsbury and Viscount Tiverton, of Tiverton in the County of Devon."
44,Lord Chancellor,5579,Hardinge Stanley Giffard,Lord Halsbury,Conservative,1895/06/29,1905/12/04,N/A,"1885 was granted peerage (Baron Halsbury), to be Lord Chancellor. In 1898 he was created Earl of Halsbury and Viscount Tiverton, of Tiverton in the County of Devon."
44,Lord Chancellor,5702,Robert Threshie Reid,Baron Loreburn,Liberal,1905/12/10,1912/06/10,N/A,"Was granted peerage (Baron Loreburn) in 1905, in 1911 he was granted the title Earl Loreburn."
44,Lord Chancellor,5702,Robert Threshie Reid,Earl Loreburn,Liberal,1905/12/10,1912/06/10,N/A,"Was granted peerage (Baron Loreburn) in 1905, in 1911 he was granted the title Earl Loreburn."
44,Lord Chancellor,5702,Robert Threshie Reid,Lord Loreburn,Liberal,1905/12/10,1912/06/10,N/A,"Was granted peerage (Baron Loreburn) in 1905, in 1911 he was granted the title Earl Loreburn."
