prefix,firstname,surname,dob,dod,alias_type,alias,start,end,corresponding_id
Hon.,Samuel,Allsopp,1842-01-01,1897-12-31,lord_membership,Baron Hindlip,1887-01-01,1897-12-31,5332.0
Viscount,,Althorp,1835-01-01,1910-08-13,lord_membership,Earl Spencer,1857-01-01,1910-08-13,
Viscount,,Althorp,1835-01-01,1910-08-13,lord_membership,Viscount Althorp,1857-12-27,1910-08-13,
Viscount,,Althorp,1835-01-01,1910-08-13,lord_membership,Baron Spencer of Althorp,1857-12-27,1910-08-13,
Viscount,,Althorp,1835-01-01,1910-08-13,lord_membership,Viscount Spencer of Althorp,1857-12-27,1910-08-13,
Viscount,,Althorp,1835-01-01,1910-08-13,alternative_name,John Spencer,1835-01-01,1910-12-31,
Viscount,,Althorp,1782-01-01,1845-12-31,lord_membership,Earl Spencer,1834-01-01,1845-12-31,
Viscount,,Althorp,1782-01-01,1845-12-31,lord_membership,Viscount Althorp,1834-11-10,1845-10-01,
Viscount,,Althorp,1782-01-01,1845-12-31,lord_membership,Baron Spencer of Althorp,1834-11-10,1845-10-01,
Viscount,,Althorp,1782-01-01,1845-12-31,lord_membership,Viscount Spencer of Althorp,1834-11-10,1845-10-01,
Viscount,,Althorp,1782-01-01,1845-12-31,alternative_name,John Spencer,1782-01-01,1845-12-31,
Viscount,,Amberley,1842-01-01,1876-12-31,alternative_name,John Russell,1842-01-01,1876-12-31,
Mr,Hugh,Amherst,1856-01-30,1927-03-07,lord_membership,Baron Amherst of Montreal,1910-08-14,1927-03-07,7277.0
Mr,Hugh,Amherst,1856-01-30,1927-03-07,lord_membership,Earl Amherst of Arracan,1910-08-14,1927-03-07,7277.0
Mr,Hugh,Amherst,1856-01-30,1927-03-07,lord_membership,Viscount Holmesdale,1910-08-14,1927-03-07,7277.0
Mr,William,Amherst,1805-09-03,1886-03-26,lord_membership,Baron Amherst of Montreal,1857-03-13,1886-03-26,
Mr,William,Amherst,1805-09-03,1886-03-26,lord_membership,Earl Amherst of Arracan,1857-03-13,1886-03-26,
Mr,William,Amherst,1805-09-03,1886-03-26,lord_membership,Viscount Holmesdale,1857-03-13,1886-03-26,
Mr,William,Amherst,1773-01-14,1857-03-13,lord_membership,Baron Amherst of Montreal,1797-08-03,1857-03-13,6455.0
Mr,William,Amherst,1773-01-14,1857-03-13,lord_membership,Earl Amherst of Arracan,1826-12-19,1857-03-13,
Mr,William,Amherst,1773-01-14,1857-03-13,lord_membership,Viscount Holmesdale,1826-12-19,1857-03-13,
Mr,William,Amherst,1835-01-01,1909-01-16,lord_membership,Baron Amherst of Hackney,1892-01-01,1909-01-16,
Mr,William,Amherst,1835-01-01,1909-01-16,alternative_name,William Tyssen-Amherst,1835-01-01,1909-12-31,
Viscount,,Andover,1804-01-01,1876-12-31,lord_membership,Earl of Suffolk,1851-01-01,1876-12-31,
Viscount,,Andover,1804-01-01,1876-12-31,alternative_name,Charles Howard,1804-01-01,1876-12-31,
Viscount,,Andover,1833-01-01,1898-12-31,lord_membership,Earl of Suffolk,1876-01-01,1898-12-31,
Viscount,,Andover,1833-01-01,1898-12-31,alternative_name,Henry Howard,1833-01-01,1898-12-31,
Earl,,Annesley,1830-01-01,1874-12-31,alternative_name,William Annesley,1830-01-01,1874-12-31,
Earl,,Annesley,1830-01-01,1874-12-31,alternative_title,Baron Annesley,1838-08-25,1874-08-10,
Earl,,Annesley,1830-01-01,1874-12-31,alternative_title,Earl Annesley,1838-08-25,1874-08-10,
Earl,,Annesley,1830-01-01,1874-12-31,alternative_title,Viscount Glerawly,1838-08-25,1874-08-10,
Hon.,Hugh,Annesley,1831-01-01,1908-12-15,lord_membership,Earl Annesley,1874-01-01,1908-12-15,4442.0
Hon.,Hugh,Annesley,1831-01-01,1908-12-15,alternative_title,Baron Annesley,1874-08-10,1908-12-15,4442.0
Hon.,Hugh,Annesley,1831-01-01,1908-12-15,alternative_title,Earl Annesley,1874-08-10,1908-12-15,4442.0
Hon.,Hugh,Annesley,1831-01-01,1908-12-15,alternative_title,Viscount Glerawly,1874-08-10,1908-12-15,4442.0
Mr,William,Annesley,1772-07-16,1838-08-25,alternative_title,Baron Annesley,1824-11-09,1838-08-25,1923.0
Mr,William,Annesley,1772-07-16,1838-08-25,alternative_title,Earl Annesley,1824-11-09,1838-08-25,1923.0
Mr,William,Annesley,1772-07-16,1838-08-25,alternative_title,Viscount Glerawly,1824-11-09,1838-08-25,1923.0
Viscount,,Anson,1825-01-01,1892-12-31,lord_membership,Earl of Lichfield,1854-01-01,1892-12-31,
Viscount,,Anson,1825-01-01,1892-12-31,alternative_name,Thomas Anson,1825-01-01,1892-12-31,
Mr,Thomas,Anson,1767-02-14,1818-07-31,lord_membership,Baron Soberton,1806-02-17,1818-07-31,
Mr,Thomas,Anson,1767-02-14,1818-07-31,lord_membership,Viscount Anson,1806-02-17,1818-07-31,
Mr,Thomas,Anson,1795-10-20,1854-03-18,lord_membership,Baron Soberton,1818-07-31,1854-03-18,
Mr,Thomas,Anson,1795-10-20,1854-03-18,lord_membership,Viscount Anson,1818-07-31,1854-03-18,
Mr,Thomas,Anson,1795-10-20,1854-03-18,lord_membership,Earl Lichfield,1831-09-15,1854-03-18,
Lieut-Colonel,William,Anstruther-Gray,1859-01-01,1938-04-17,alternative_name,William Anstruther-Thomson,1859-01-01,1938-12-31,8328.0
Viscount,,Apsley,1895-01-01,1942-12-17,alternative_name,Allen Bathurst,1895-01-01,1942-12-31,
Viscount,,Apsley,1790-01-01,1866-12-31,lord_membership,Earl Bathurst,1834-01-01,1866-12-31,
Viscount,,Apsley,1790-01-01,1866-12-31,lord_membership,Baron Bathurst of Battlesden,1834-07-27,1866-05-25,
Viscount,,Apsley,1790-01-01,1866-12-31,lord_membership,Lord Apsley,1834-07-27,1866-05-25,
Viscount,,Apsley,1790-01-01,1866-12-31,alternative_name,Henry Bathurst,1790-01-01,1866-12-31,
Viscountess,,Apsley,1895-01-01,1966-01-19,alternative_name,Violet Meeking,1895-01-01,1924-12-31,
Mr,Richard,Arden,1744-05-20,1804-03-19,lord_membership,Baron Alvanley,1801-05-22,1804-03-19,6588.0
Mr,Richard,Arden,1792-12-08,1857-06-24,lord_membership,Baron Alvanley,1849-11-16,1857-06-24,6588.0
Mr,William,Arden,1789-01-08,1849-11-16,lord_membership,Baron Alvanley,1804-03-26,1849-11-16,6456.0
Mr,George,Armitstead,1824-01-01,1915-12-07,lord_membership,Baron Armitstead,1900-01-01,1915-12-07,5099.0
Mr,George,Armitstead,1824-01-01,1915-12-07,lord_membership,Baron Armitstead,1906-07-19,1915-12-07,5099.0
Mr,William,Armstrong,1810-11-26,1900-12-27,lord_membership,Baron Armstrong of Cragside,1887-07-06,1900-12-27,7055.0
Mr,Edgar,Arundell,1859-12-20,1921-12-08,lord_membership,Baron Arundell of Wardour,1907-07-11,1921-12-08,7246.0
Mr,Everard,Arundell,1834-09-06,1907-07-11,lord_membership,Baron Arundell of Wardour,1906-10-26,1907-07-11,7233.0
Mr,Henry,Arundell,1740-03-31,1808-12-04,lord_membership,Baron Arundell of Wardour,1756-09-12,1808-12-04,6633.0
Mr,Henry,Arundell,1804-11-12,1862-10-19,lord_membership,Baron Arundell of Wardour,1834-06-21,1862-10-19,6457.0
Mr,James,Arundell,1785-11-03,1834-06-21,lord_membership,Baron Arundell of Wardour,1817-07-14,1834-06-21,
Mr,James,Arundell,1763-03-04,1817-07-14,lord_membership,Baron Arundell of Wardour,1808-12-04,1817-07-14,
Mr,John,Arundell,1831-12-28,1906-10-26,lord_membership,Baron Arundell of Wardour,1862-10-19,1906-10-26,6878.0
Mr,Bertram,Ashburnham,1797-11-23,1878-06-22,lord_membership,Baron Ashburnham,1830-10-27,1878-06-22,6458.0
Mr,Bertram,Ashburnham,1797-11-23,1878-06-22,lord_membership,Earl of Ashburnham,1830-10-27,1878-06-22,6458.0
Mr,Bertram,Ashburnham,1797-11-23,1878-06-22,lord_membership,Viscount St. Asaph,1830-10-27,1878-06-22,6458.0
Mr,Bertram,Ashburnham,1840-10-28,1913-01-15,lord_membership,Baron Ashburnham,1878-06-22,1913-01-15,
Mr,Bertram,Ashburnham,1840-10-28,1913-01-15,lord_membership,Earl of Ashburnham,1878-06-22,1913-01-15,
Mr,Bertram,Ashburnham,1840-10-28,1913-01-15,lord_membership,Viscount St. Asaph,1878-06-22,1913-01-15,
Mr,George,Ashburnham,1760-12-25,1830-10-27,lord_membership,Baron Ashburnham,1803-03-23,1830-10-27,
Mr,George,Ashburnham,1760-12-25,1830-10-27,lord_membership,Earl of Ashburnham,1812-04-08,1830-10-27,
Mr,George,Ashburnham,1760-12-25,1830-10-27,lord_membership,Viscount St. Asaph,1812-04-08,1830-10-27,
Mr,John,Ashburnham,1724-10-30,1812-04-08,lord_membership,Baron Ashburnham,1737-03-10,1812-04-08,6634.0
Mr,John,Ashburnham,1724-10-30,1812-04-08,lord_membership,Earl of Ashburnham,1737-03-10,1812-04-08,6634.0
Mr,John,Ashburnham,1724-10-30,1812-04-08,lord_membership,Viscount St. Asaph,1737-03-10,1812-04-08,6634.0
Captain,Edward,Ashe A'Court,1783-01-01,1855-12-31,alternative_name,Captain Edward A'Court,1783-01-01,1855-12-31,
Mr,Charles,Ashe A'Court-Repington,1819-01-01,1903-12-31,alternative_name,Charles A'Court,1819-01-01,1903-12-31,
Lord,,Ashley,1831-01-01,1886-12-31,lord_membership,Earl of Shaftesbury,1885-01-01,1886-12-31,
Lord,,Ashley,1831-01-01,1886-12-31,alternative_name,Anthony Ashley-Cooper,1831-01-01,1886-12-31,
Lord,,Ashley,1801-01-01,1885-12-31,lord_membership,Earl Shaftesbury,1851-01-01,1885-12-31,
Lord,,Ashley,1801-01-01,1885-12-31,alternative_name,Anthony Ashley-Cooper,1801-01-01,1885-12-31,
Lord,,Ashley,1801-01-01,1885-12-31,alternative_name,Earl of Shaftesbury,1851-01-01,1885-12-31,
Mr,William,Astell,1774-01-01,1847-12-31,alternative_name,William Thornton,1774-01-01,1807-12-31,1531.0
Mr,Albert,Astley,1882-11-24,1956-01-18,lord_membership,Lord Hastings,1904-09-18,1956-01-18,7205.0
Mr,Bernard,Astley,1855-09-09,1875-12-22,lord_membership,Lord Hastings,1872-09-28,1875-12-22,6943.0
Mr,Delaval,Astley,1825-03-24,1872-09-28,lord_membership,Lord Hastings,1871-03-08,1872-09-28,
Mr,George,Astley,1857-04-04,1904-09-18,lord_membership,Lord Hastings,1875-12-22,1904-09-18,6961.0
Mr,Jacob,Astley,1822-05-21,1871-03-08,lord_membership,Lord Hastings,1859-12-27,1871-03-08,
Sir,Jacob,Astley,1797-01-01,1859-12-31,lord_membership,Baron Hastings,1841-01-01,1859-12-31,
Viscountess,Nancy,Astor,1879-01-01,1964-05-02,alternative_name,Nancy Langhorne,1879-01-01,1964-12-31,
,,Atholl,1874-01-01,1960-10-21,alternative_name,Katharine Ramsay,1874-01-01,1899-12-31,
,,Atholl,1874-01-01,1960-10-21,alternative_name,Marchioness of Tullibardine,1899-01-01,1917-12-31,
,,Atholl,1874-01-01,1960-10-21,alternative_name,Katharine Stewart-Murray,1899-01-01,1917-12-31,
Mr,Henry,Atkinson,1828-01-01,1913-03-03,alternative_name,Henry Farmer-Atkinson,1891-01-01,1913-12-31,5921.0
Mr,John,Atkinson,1844-01-01,1932-03-13,lord_membership,Baron Atkinson,1905-01-01,1932-03-13,
Hon.,William,Bagot,1811-01-01,1887-12-31,lord_membership,Baron Bagot of Bagot's Bromley,1856-02-12,1887-01-19,
Mr,William,Bagot,1773-09-11,1856-02-12,lord_membership,Baron Bagot of Bagot's Bromley,1798-10-22,1856-02-12,6459.0
Mr,William,Bagot,1857-01-19,1932-12-23,lord_membership,Baron Bagot of Bagot's Bromley,1887-01-19,1932-12-23,
Sir,Joseph,Bailey,1840-01-01,1906-01-06,lord_membership,Baron Glanusk,1899-01-26,1906-01-06,4870.0
Mr,Charles,Baillie,1804-01-01,1879-12-31,lord_membership,Lord Jerviswood,1859-01-01,1879-12-31,4597.0
Mr,William,Baillie,,1816-03-14,lord_membership,Lord Polkemmet,1793-11-14,1816-03-14,
Mr,Alexander,Baillie-Cochrane,1816-01-01,1890-12-31,lord_membership,Baron Lamington,1880-01-01,1890-12-31,3777.0
Mr,Alexander,Baillie-Cochrane,1816-01-01,1890-12-31,alternative_name,Alexander Cochrane,1816-01-01,1890-12-31,3777.0
Mr,Alexander,Baillie-Cochrane,1816-01-01,1890-12-31,alternative_name,Alexander Cochrane-Baillie,1816-01-01,1890-12-31,3777.0
Mr,John,Baker Holroyd,,1821-05-30,lord_membership,Baron Sheffield,1802-07-29,1821-05-30,
Lord,,Balcarres,1871-01-01,1940-03-08,alternative_name,David Lindsay,1871-01-01,1940-12-31,7309.0
Mr,John,Balfour,1837-01-01,1905-01-22,lord_membership,Baron Balfour,1899-01-01,1905-01-22,5844.0
Mr,John,Balfour,1837-01-01,1905-01-22,lord_membership,Baron Kinross,1902-07-15,1905-01-22,5844.0
Mr,George,Bampfylde,,1858-12-19,lord_membership,Baron Poltimore,1831-09-10,1858-12-19,
Hon.,Alexander,Baring,1835-01-01,1889-12-31,lord_membership,Baron Ashburton,1868-01-01,1889-12-31,
Hon.,Alexander,Baring,1774-10-28,1848-05-12,lord_membership,Baron Ashburton,1835-04-10,1848-05-12,
Mr,Alexander,Baring,1835-05-04,1889-07-18,lord_membership,Baron Ashburton,1868-09-06,1889-07-18,
Mr,Edward,Baring,1828-04-13,1897-07-17,lord_membership,Baron Revelstoke of Membland,1885-06-30,1897-07-17,
Mr,Evelyn,Baring,1841-02-26,1917-01-29,lord_membership,Baron Cromer of Cromer,1892-06-20,1917-01-29,7092.0
Mr,Evelyn,Baring,1841-02-26,1917-01-29,lord_membership,Viscount Cromer,1899-01-25,1917-01-29,7092.0
Mr,Evelyn,Baring,1841-02-26,1917-01-29,lord_membership,Earl of Cromer,1901-08-08,1917-01-29,7092.0
Mr,Evelyn,Baring,1841-02-26,1917-01-29,lord_membership,Viscount Errington of Hexham,1901-08-08,1917-01-29,7092.0
Hon.,Francis,Baring,1800-01-01,1868-12-31,lord_membership,Baron Ashburton,1864-01-01,1868-12-31,
Mr,Francis,Baring,1866-07-20,1938-03-27,lord_membership,Baron Ashburton,1889-07-18,1938-03-27,
Sir,Francis,Baring,1796-01-01,1866-12-31,lord_membership,Baron Northbrook,1866-01-01,1866-12-31,
Viscount,Francis,Baring,1850-01-01,1929-04-12,lord_membership,Earl of Northbrook,1904-01-01,1929-04-12,
Viscount,Francis,Baring,1850-01-01,1929-04-12,lord_membership,Earl of Northbrook,1904-11-15,1929-04-12,
Viscount,Francis,Baring,1850-01-01,1929-04-12,lord_membership,Baron Northbrook,1904-11-15,1929-04-12,
Viscount,Francis,Baring,1850-01-01,1929-04-12,lord_membership,Viscount Baring,1904-11-15,1929-04-12,
Mr,John,Baring,1863-09-07,1929-04-19,lord_membership,Baron Revelstoke of Membland,1897-07-17,1929-04-19,7134.0
Hon.,Thomas,Baring,1826-01-01,1904-11-15,lord_membership,Baron Northbrook,1866-01-01,1904-11-15,
Hon.,Thomas,Baring,1826-01-01,1904-11-15,lord_membership,Earl Northbrook,1876-01-01,1904-11-15,
Hon.,Thomas,Baring,1826-01-01,1904-11-15,lord_membership,Earl of Northbrook,1876-06-10,1904-11-15,
Hon.,Thomas,Baring,1826-01-01,1904-11-15,lord_membership,Viscount Baring,1876-06-10,1904-11-15,
Mr,William,Baring,1799-01-01,1864-12-31,lord_membership,Baron Ashburton,1848-01-01,1864-12-31,2504.0
Mr,John,Barnes,,1913-04-22,lord_membership,Baron Gorell,1909-02-16,1913-04-22,9297.0
Mr,Thomas,Barrett-Lennard,1788-01-01,1856-12-31,alternative_name,Thomas Lennard,1788-01-01,1856-12-31,
Sir,Thomas,Barrett-Lennard,1761-01-01,1857-12-31,alternative_name,Thomas Lennard,1762-01-01,1857-12-31,2973.0
Viscount,,Barrington,1793-01-01,1867-12-31,alternative_name,William Barrington,1793-01-01,1867-12-31,
Viscount,,Barrington,1793-01-01,1867-12-31,alternative_title,Baron Barrington of Newcastle,1829-03-04,1867-02-09,
Viscount,,Barrington,1793-01-01,1867-12-31,alternative_title,Viscount Barrington of Ardglass,1829-03-04,1867-02-09,
Hon.,George,Barrington,1824-01-01,1886-12-31,lord_membership,Viscount Barrington,1867-01-01,1886-12-31,4994.0
Hon.,George,Barrington,1824-01-01,1886-12-31,lord_membership,Baron Shute of Beckett,1880-01-01,1886-12-31,4994.0
Hon.,George,Barrington,1824-01-01,1886-12-31,alternative_name,Viscount Barrington,1867-01-01,1886-12-31,4994.0
Hon.,George,Barrington,1824-01-01,1886-12-31,alternative_title,Baron Barrington of Newcastle,1867-02-09,1886-11-06,4994.0
Hon.,George,Barrington,1824-01-01,1886-12-31,alternative_title,Viscount Barrington of Ardglass,1867-02-09,1886-11-06,4994.0
Mr,Percy,Barrington,1825-04-22,1901-04-29,lord_membership,Baron Shute of Becket,1886-11-06,1901-04-29,7047.0
Mr,Percy,Barrington,1825-04-22,1901-04-29,alternative_title,Baron Barrington of Newcastle,1886-11-06,1901-04-29,7047.0
Mr,Percy,Barrington,1825-04-22,1901-04-29,alternative_title,Viscount Barrington of Ardglass,1886-11-06,1901-04-29,7047.0
Mr,Walter,Barrington,1848-04-20,1933-09-12,lord_membership,Baron Shute of Becket,1901-04-29,1933-09-12,7176.0
Mr,Walter,Barrington,1848-04-20,1933-09-12,alternative_title,Baron Barrington of Newcastle,1901-04-29,1933-09-12,7176.0
Mr,Walter,Barrington,1848-04-20,1933-09-12,alternative_title,Viscount Barrington of Ardglass,1901-04-29,1933-09-12,7176.0
Mr,Arthur,Barry,1843-01-01,1925-02-22,lord_membership,Baron Barrymore,1902-01-01,1925-02-22,5008.0
Mr,Arthur,Barry,1843-01-01,1925-02-22,alternative_name,Arthur Smith-Barry,1843-01-01,1925-12-31,5008.0
Mr,Thomas,Baskerville,1790-01-01,1864-12-31,alternative_name,Thomas Mynors,1790-01-01,1864-12-31,3679.0
Sir,Michael,Bass,1837-01-01,1909-02-01,lord_membership,Baron Burton,1886-01-01,1909-02-01,4929.0
Sir,Michael,Bass,1837-01-01,1909-02-01,lord_membership,Baron Burton of Burton-on-Trent and of Rangemore,1897-11-29,1909-02-01,4929.0
Mr,Francis,Basset,1757-08-09,1835-02-05,lord_membership,Baron Basset of Stratton,1797-11-30,1835-02-05,6636.0
Hon.,Charles,Bateman-Hanbury,1827-01-01,1912-03-22,alternative_name,Hon. Charles Kincaid-Lennox,1862-01-01,1912-12-31,4213.0
Mr,William,Bateman-Hanbury,1780-06-24,1845-07-22,lord_membership,Baron Bateman of Shobdon,1837-01-30,1845-07-22,
Mr,William,Bateman-Hanbury,1826-07-28,1901-11-30,lord_membership,Baron Bateman of Shobdon,1845-07-22,1901-11-30,
Mr,William,Bateman-Hanbury,1856-09-30,1931-11-04,lord_membership,Baron Bateman of Shobdon,1901-11-30,1931-11-04,
Mr,Thomas,Bateson,1819-01-01,1890-12-31,lord_membership,Baron Deramore,1885-01-01,1890-12-31,3820.0
Mr,Allen,Bathurst,1832-01-01,1892-12-31,lord_membership,Lord Bathurst,1878-01-01,1892-12-31,
Mr,Allen,Bathurst,1832-01-01,1892-12-31,lord_membership,Lord Apsley,1878-02-24,1892-08-01,
Mr,Henry,Bathurst,1762-05-22,1834-07-27,lord_membership,Baron Bathurst of Battlesden,1794-08-06,1834-07-27,
Mr,Henry,Bathurst,1762-05-22,1834-07-27,lord_membership,Earl Bathurst of Bathurst,1794-08-06,1834-07-27,
