INCORRECT,CORRECT
LORD EDMUND FITZ-MAUBICE,LORD EDMUND FITZMAURICE
MAONAMARA,MCNAMARA
MR. CHARLES HOBIIOUSE,MR. CHARLES HOBHOUSE
MR. GUTIIRIE,MR. GUTHRIE
MR. LAMBTOX (change to Lambton),MR. LAMBTON
MR. M'GOVKRN,MR. MCGOVERN
CAMPBELL-BAN HERMAN,CAMPBELL-BANNERMAN
STANLEY OFALDEKLEY,STANLEY ALDERLEY
EARL CARMNGTON,EARL CARRINGTON
Mr. CRKMEE,Mr. CLARKE
MR. COREIE GRANT,MR. COREY GRANT
EARL OF DONOCJGHMORE,EARL OF DONOUGHMORE
MAJOR ANSTRUTIIER-GRAY,MAJOR ANSTRUTHER-GRAY
MR. B E R T R A M,MR. BERTRAM
A. J.BALPOUR,A. J. BALFOUR
HERSCHBLL,HERSCHEL
SIR HENRY HOWORTH(Salford,SIR HENRY HOWARTH (Salford
HENEAUE,HEANUE
STATE ROR THE COLONIES,STATE FOR THE
DEPUTY-CHAIR M AN,DEPUTY CHAIRMAN
SIR FBEDEEICK BANBUEY,SIR FREDERICK BANBURY
ASQTJITH,ASQUITH
POSTMASTER - GENERA,POSTMASTER GENERAL
CHARLES SCHWANX,CHARLES SCHWAB
Mr. BROURICK,Mr. BRODERICK
Mr. BKODRICK,Mr. BRODERICK
BEODRICK,BRODERICK
Earl of DONOUOH-MORE,Earl of DONOUGHMORE
AKERS- DOUWLAS,AKERS DOUGLAS
Mr. PEETYMAN,Mr. PRETTYMAN
MR. FETIIERSTONHAUGH,MR. FETHERSTONHAUGH
MR. WHITTAKEK,Mr. Whitaker
MR. BAULTON,Mr. Bolton
MR. BEODRIGK,Mr. Broderick
MR. CHARLES M'AETHUR,Mr. Charles McArthur
MANCHERJEE BHOWNAGGEEE,Mancherjee Bhownagree
CHRISTOPHER FTJRNESS,Christopher Furness
SIR FORTESCTJE FLANNERY,Sir. Fortescue Flannery
SIR WTLLIAM TOMLINSON,Sir William Tomlison
GRIFFITH BOSOAWEN,Arthur Griffith-Boscawen
CAMPBEEL-BANNEERMAN,Campbell-Bannerman
CHANCELLOR OF THE EN-CHEQUER,Chancellor of the Exchequer
FEEGUSSON,Ferguson�
FEE-GUSSON,Ferguson�
FERGHSSON,Ferguson�
FERGHSSON,Ferguson�
FERGUS-IRON,Ferguson�
MANCHERJEE BHOWKAGGREE,Mancherjee Bhownagree
MANCHERJEE BHOWNAG-GREK,Mancherjee Bhownagree
SECRETAEY (secretary)�,Secretary�
SECRETARY FOE IRE LAND,Secretary for Ireland
SECRETARY for IRE,Secretary for Ireland
SECRETARY OF ST ATE FOR WAR,Secretary of State
SECRETARY OF STALE,Secretary of State for War
SECRETARY OK STATE FOR FOREIGN,Secretary of State for Foreign Affairs�
SECRETARY TO TILE TREASURY,Secretary to the Treasury
SIR CHARLKS DILKE,Sir Charles Dike
LOED (change to lord)�,Lord
BOAED (change to board)�,board
STATE FOR AVAR,State for War
PRESIDENT or THE (change to of)�,President of the
TIIE COMMITTEE,The Committee
MR. T. L. COKBETT,Mr. T.L. Corbett
MR. T. L. COEBETT,Mr. T.L. Corbett
PBESIDENT OF THE BOARD OFTRADE,President of the Board of Trade
O'SHATHGHNESSY,O'Shaughnessy
O'SIIAUGHNESSY,O'Shaughnessy
THE MARQUESS OF LANSDOVVNE,The Marquess of Lansdowne
THE CHANCELLOR OF THE EX ,The Chancellor of the Exchequer
FORTESCIJE FLANNERY,Fortescue Flannery�
STATE FOB (change to state for)�,State for
TEXNANT (tennant)�,tennant
STATE FOR AVAR (change to war)�,State for War
UNDEB SECBETAEY of STATE FOR WAR,Under Secretary of State for War�
VICE-PEESIDENT OF THE BOAED of EDUCATION,Vice President of the Board of Education
PRYCE-JONES (make look like PRYCE - JONES)�,Pryce - Jones
EARL BEATJCHAMP,Earl Beauchamp
THE MARCHESS OE SALISBURY,The Marches of Salisbury�
MR. LABOITCHERE,Mr. Labouch�re
ATTOENEY-GENERA,Attorney General�
ATTORNE-GENERAL,Attorney General�
MR. VICARYGIBBSMR.�,Mr. Vicary Gibbs�
GIBSON BOAVLES,Gibson Bowles
ARNOLD - FORSTEE,Arnold-Forster
OF:STATE FOE WAR,of State for War
PAELIAMENTARY SECRETARY,Parliamentry Secretary�
BISHOP OF WINCHES TER,Bishop of Manchester�
SECEETAEY TO THE ADMIE-ALTY,Secretary to the Admiralty�
MEMEBER (change to member),member
MARQUESS or LONDON-DERRY,The Marquess of Londonderry�
EOBEET FINLAY,Robert Einlay
ROBERT F1NLAY,Robert Einlay
COUNCIL ON EDU-,Council of Education
