office_id,corresponding_id,official_post,real_name,honorary_title,party,started_service,ended_service,editing_issues,details,links
61,5857,attorney general for ireland,Andrew Marshall Porter,N/A,N/A,1883/01/03,1883/12/19,,,"https://en.wikipedia.org/wiki/Sir_Andrew_Porter,_1st_Baronet"
61,,attorney general for ireland,John Naish,N/A,N/A,1883/12/19,1885,,,https://en.wikipedia.org/wiki/John_Naish
61,5890,attorney general for ireland,Samuel Walker,N/A,Liberal,1885,1885/07/03,,,"https://en.wikipedia.org/wiki/Sir_Samuel_Walker,_1st_Baronet"
61,5917,attorney general for ireland,Hugh Holmes,N/A,Conservative,1885/07/03,1886/02/01,,,https://en.wikipedia.org/wiki/Hugh_Holmes
61,5890,attorney general for ireland,Samuel Walker,N/A,Liberal,1886/02/01,1886/08/01,,,"https://en.wikipedia.org/wiki/Sir_Samuel_Walker,_1st_Baronet"
61,5917,attorney general for ireland,Hugh Holmes,N/A,Conservative,1886/08/01,1887,,,https://en.wikipedia.org/wiki/Hugh_Holmes
61,6092,attorney general for ireland,John George Gibson,N/A,Conservative,1887,1888,,,https://en.wikipedia.org/wiki/John_George_Gibson
61,7174,attorney general for ireland,Peter O'Brien,The Lord O'Brien,Liberal,1888,1890,,,"https://en.wikipedia.org/wiki/Peter_O%27Brien,_1st_Baron_O%27Brien"
61,6354,attorney general for ireland,Dodgson Hamilton Madden,N/A,Conservative,1890,1892,,,https://en.wikipedia.org/wiki/Dodgson_Hamilton_Madden
61,7206,attorney general for ireland,John Atkinson,N/A,Conservative,1892,1892/08/01,,,"https://en.wikipedia.org/wiki/John_Atkinson,_Baron_Atkinson"
61,,attorney general for ireland,Hugh Hyacinth O'Rorke MacDermot,Prince of Coolavin,Liberal,1892/08/01,1895/07/08,,,https://en.wikipedia.org/wiki/Hugh_Hyacinth_O%27Rorke_MacDermot
61,7206,attorney general for ireland,John Atkinson,N/A,Conservative,1895/07/08,1905/12/04,,,"https://en.wikipedia.org/wiki/John_Atkinson,_Baron_Atkinson"
61,7485,attorney general for ireland,James Henry Mussen Campbell,The Lord Glenavy,N/A,1905/12/04,1905/12/22,,,"https://en.wikipedia.org/wiki/James_Campbell,_1st_Baron_Glenavy"
61,8253,attorney general for ireland,Richard Robert Cherry,N/A,Liberal,1905/12/22,1909/12/02,,,https://en.wikipedia.org/wiki/Richard_Cherry
61,7278,attorney general for ireland,Redmond John Barry,N/A,Liberal,1909/12/02,1911/09/26,,,https://en.wikipedia.org/wiki/Redmond_Barry_(lord_chancellor)
