office_id,official_post,corresponding_id,real_name,honorary_title,party,started_service,ended_service,extra details,link
11,Secretary for Ireland,2454,Edward Granville Eliot,N/A,Conservative,1841/02/06,1845/02/01,MP for East Cornwall,"https://en.wikipedia.org/wiki/Edward_Eliot,_3rd_Earl_of_St_Germans"
11,Secretary for Ireland,2884,Thomas Francis Fremantle,N/A,Conservative,1845/02/01,1846/02/14,Also Baron Fremantle in Austrian Empire; MP for Buckingham; Baronet,"https://en.wikipedia.org/wiki/Thomas_Fremantle,_1st_Baron_Cottesloe"
11,Secretary for Ireland,3116,Henry Pelham Fiennes Pelham-Clinton,Earl of Lincoln,Conservative,1846/02/14,1846/06,MP for Falkirk Burghs,"https://en.wikipedia.org/wiki/Henry_Pelham-Clinton,_5th_Duke_of_Newcastle"
11,Secretary for Ireland,2381,Henry Labouchere,N/A,Whig,1846/06/06,1847/07/22,MP for Taunton,"https://en.wikipedia.org/wiki/Henry_Labouchere,_1st_Baron_Taunton"
11,Secretary for Ireland,3575,William Meredyth Somerville,N/A,Whig,1847/07/22,1852/02/21,MP for Drogheda; Baronet,"https://en.wikipedia.org/wiki/William_Somerville,_1st_Baron_Athlumney"
11,Secretary for Ireland,3961,Richard Southwell Bourke,N/A,Conservative,1852/03/01,1852/12/17,Lord Naas; MP for Coleraine,"https://en.wikipedia.org/wiki/Richard_Bourke,_6th_Earl_of_Mayo"
11,Secretary for Ireland,2908,John Young,N/A,Peelite,1853/01/06,1855/01/30,MP for Cavan; Baronet,"https://en.wikipedia.org/wiki/John_Young,_1st_Baron_Lisgar"
11,Secretary for Ireland,3430,Edward Horsman,N/A,Whig,1855/03/01,1857/05/27,MP for Stroud,https://en.wikipedia.org/wiki/Edward_Horsman
11,Secretary for Ireland,3959,Henry Arthur Herbert,N/A,Whig,1857/05/27,1858/02/21,MP for Kerry,https://en.wikipedia.org/wiki/Henry_Arthur_Herbert_(1815%E2%80%931866)
11,Secretary for Ireland,3961,Richard Southwell Bourke,N/A,Conservative,1858/03/04,1859/06/11,MP for Cockermouth,"https://en.wikipedia.org/wiki/Richard_Bourke,_6th_Earl_of_Mayo"
11,Secretary for Ireland,3781,Edward Cardwell,N/A,Liberal,1859/06/24,1861/07/29,MP for Oxford,"https://en.wikipedia.org/wiki/Edward_Cardwell,_1st_Viscount_Cardwell"
11,Secretary for Ireland,4101,Robert Peel,N/A,Liberal,1861/07/29,1865/12/07,MP for Tamford; Bronet,"https://en.wikipedia.org/wiki/Sir_Robert_Peel,_3rd_Baronet"
11,Secretary for Ireland,3984,Chichester Samuel Parkinson-Fortescue,N/A,Liberal,1865/12/07,1866/06/26,MP for County Louth,"https://en.wikipedia.org/wiki/Chichester_Parkinson-Fortescue,_1st_Baron_Carlingford"
11,Secretary for Ireland,3961,Richard Southwell Bourke,Earl of Mayo,Conservative,1866/07/10,1868/09/29,MP for Cockermouth,"https://en.wikipedia.org/wiki/Richard_Bourke,_6th_Earl_of_Mayo"
11,Secretary for Ireland,2661,John Wilson-Patten,N/A,Conservative,1868/09/29,1868/12/01,MP for North Lancashire,"https://en.wikipedia.org/wiki/John_Wilson-Patten,_1st_Baron_Winmarleigh"
11,Secretary for Ireland,3984,Chichester Samuel Parkinson-Fortescue,N/A,Liberal,1868/12/16,1871/01/12,MP for County Louth,"https://en.wikipedia.org/wiki/Chichester_Parkinson-Fortescue,_1st_Baron_Carlingford"
11,Secretary for Ireland,4497,Spencer Compton Cavendish,N/A,Liberal,1871/01/12,1874/02/17,Marquess of Hartington,"https://en.wikipedia.org/wiki/Spencer_Cavendish,_8th_Duke_of_Devonshire"
11,Secretary for Ireland,4796,Michael Edward Hicks Beach,N/A,Conservative,1874/02/27,1878/02/15,MP for East Gloucestershire; Baronet,"https://en.wikipedia.org/wiki/Michael_Hicks_Beach,_1st_Earl_St_Aldwyn"
11,Secretary for Ireland,4967,James Lowther,N/A,Conservative,1878/02/15,1880/04/21,MP for City of York,"https://en.wikipedia.org/wiki/James_Lowther_(politician,_born_1840)"
11,Secretary for Ireland,4728,William Edward Forster,N/A,Liberal,1880/04/30,1882/05/06,MP for Bradford,https://en.wikipedia.org/wiki/William_Edward_Forster
11,Secretary for Ireland,4969,Frederick Charles Cavendish,N/A,Liberal,1882/05/06,1882/05/06,MP for West Riding of Yorkshire North,https://en.wikipedia.org/wiki/Lord_Frederick_Cavendish
11,Secretary for Ireland,4943,George Otto Trevelyan,N/A,Liberal,1882/05/09,1884/10/23,MP for Hawick Burghs,"https://en.wikipedia.org/wiki/Sir_George_Trevelyan,_2nd_Baronet"
11,Secretary for Ireland,5201,Henry Campbell-Bannerman,N/A,Liberal,1884/10/23,1885/06/09,MP for Stirling Burghs. Later Prime Minister,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman
11,Secretary for Ireland,4876,William Hart Dyke,N/A,Conservative,1885/06/25,1886/01/23,MP for Mid Kent; Baronet,"https://en.wikipedia.org/wiki/Sir_William_Hart_Dyke,_7th_Baronet"
11,Secretary for Ireland,5221,William Henry Smith,N/A,Conservative,1886/01/23,1886/01/28,MP for Strand,https://en.wikipedia.org/wiki/William_Henry_Smith_(1825%E2%80%931891)
11,Secretary for Ireland,5872,John Morley,N/A,Liberal,1886/02/06,1886/07/20,MP for Newcastle-upon-Tyne,https://en.wikipedia.org/wiki/John_Morley
11,Secretary for Ireland,4796,Michael Edward Hicks Beach,N/A,Conservative,1886/08/05,1887/03/07,MP for Bristol West; Baronet,"https://en.wikipedia.org/wiki/Michael_Hicks_Beach,_1st_Earl_St_Aldwyn"
11,Secretary for Ireland,5410,Arthur James Balfour,Lord and Baron of Hailes,Conservative,1887/03/07,1891/11/09,MP for Manchester East,https://en.wikipedia.org/wiki/Arthur_Balfour
11,Secretary for Ireland,5720,William Lawies Jackson,N/A,Conservative,1891/11/09,1892/08/11,MP for Leeds North,"https://en.wikipedia.org/wiki/William_Jackson,_1st_Baron_Allerton"
11,Secretary for Ireland,5872,John Morley,N/A,Liberal,1892/08/22,1895/06/21,MP for Montrose Burghs,https://en.wikipedia.org/wiki/John_Morley
11,Secretary for Ireland,6079,Gerald William Balfour,N/A,Conservative,1895,1900,MP for Leeds Central,"https://en.wikipedia.org/wiki/Gerald_Balfour,_2nd_Earl_of_Balfour"
11,Secretary for Ireland,6390,George Wyndham,N/A,Conservative,1900/11/09,1905/03/12,MP for Dover,https://en.wikipedia.org/wiki/George_Wyndham
11,Secretary for Ireland,5811,Walter Hume Long,N/A,Conservative,1905/03/12,1905/12/04,MP for Bristol South. Leader of Irish Unionist Party 1905-1910.,"https://en.wikipedia.org/wiki/Walter_Long,_1st_Viscount_Long"
11,Secretary for Ireland,5795,James Bryce,N/A,Liberal,1905/12/10,1907/01/23,MP for Aberdeen South. Ambassador to US 1907-1913.,"https://en.wikipedia.org/wiki/James_Bryce,_1st_Viscount_Bryce"
11,Secretary for Ireland,6391,Augustine Birrell,N/A,Liberal,1907/01/23,1916/05/03,MP for Bristol North,https://en.wikipedia.org/wiki/Augustine_Birrell
