member.id,mp.name,mp.sname,mp.fname,mp.dob,mp.dob_approximate,mp.dod,mp.dod_approximate
709,Mr George Rose,Rose,George,1744-06-17,0,1818-01-13,0
710,Mr William Sturges-Bourne,Sturges-Bourne,William,1769-11-07,0,1845-02-01,0
711,Mr Robert Preston,Preston,Robert,1740-04-21,0,1834-05-07,0
712,Mr Michael Hicks-Beach,Hicks-Beach,Michael,1760-04-11,0,1830-12-31,1
713,Sir William Curtis,Curtis,William,1752-01-25,0,1829-01-18,0
714,Sir John William Anderson,Anderson,John,1735-01-01,1,1813-05-21,0
715,Mr Harvey Christian Combe,Combe,Harvey,1752-01-01,1,1818-07-04,0
716,Sir Charles Price,Price,Charles,1748-01-25,0,1818-07-19,0
717,Mr William Douglas MacLean-Clephane,MacLean-Clephane,William,1759-04-20,0,1803-11-04,0
718,Sir Edward O'Brien,O'Brien,Edward,1773-04-17,0,1837-03-13,0
719,Mr Robert Curzon,Curzon,Robert,1774-02-13,0,1863-05-14,0
720,Mr John Cust,Cust,John,1779-08-19,0,1853-09-15,0
721,Mr William Bagwell,Bagwell,William,1776-01-01,1,1826-11-04,0
722,Mr James Graham,Graham,James,1753-11-18,0,1825-03-21,0
723,Mr Robert Ward,Ward,Robert,1765-03-19,0,1846-08-13,0
724,Mr Robert Thornton,Thornton,Robert,1759-01-09,0,1826-03-16,0
725,Mr John Denison,Denison,John,1758-01-01,1,1820-05-06,0
726,Mr Henry Bankes,Bankes,Henry,1756-12-19,0,1834-12-17,0
727,Mr Nathaniel Bond,Bond,Nathaniel,1754-11-01,0,1823-10-08,0
728,Mr Christopher Hely-Hutchinson,Hely-Hutchinson,Christopher,1767-04-05,0,1826-08-26,0
729,Sir William Lemon,Lemon,William,1748-10-11,0,1824-12-11,0
730,Mr Francis Gregor,Gregor,Francis,1760-06-01,0,1815-07-12,0
731,Mr Nathaniel Jeffreys,Jeffreys,Nathaniel,1758-01-01,1,1810-03-03,0
732,Mr Francis William Barlow,Barlow,Francis,1775-10-01,0,1805-05-06,0
733,Mr Thomas Estcourt,Estcourt,Thomas,1748-10-07,0,1818-12-02,0
734,Mr Henry George Herbert,Herbert,Henry,1772-06-03,0,1833-04-16,0
735,Mr Alexander Mackenzie,Mackenzie,Alexander,1758-01-01,1,1809-09-13,0
736,Sir Henry Fletcher,Fletcher,Henry,1727-01-01,1,1807-03-29,0
737,Sir John Lowther,Lowther,John,1759-04-01,0,1844-03-19,0
738,Mr Edmund Bastard,Bastard,Edmund,1758-02-07,0,1816-06-01,0
739,Mr Arthur Howe Holdsworth,Holdsworth,Arthur,1780-11-26,0,1860-05-13,0
740,Mr Frederick West,West,Frederick,1767-01-01,1,1852-03-22,0
741,Mr Edward Coke,Coke,Edward,1758-01-01,1,1837-12-31,1
742,Mr George Walpole,Walpole,George,1758-06-20,0,1835-05-01,0
743,Mr Edward Miller Mundy,Mundy,Edward,1750-10-18,0,1822-10-18,0
744,Lord George Augustus Henry Cavendish,Cavendish,George,1754-03-21,0,1834-05-04,0
745,Mr Henry Addington,Addington,Henry,1757-05-30,0,1844-02-15,0
746,Mr Joshua Smith,Smith,Joshua,1732-01-01,1,1819-03-20,0
747,Mr John Pollexfen Bastard,Bastard,John,1756-09-18,0,1816-04-04,0
748,Sir Lawrence Palk,Palk,Lawrence,1766-01-01,1,1813-06-20,0
749,Sir James Stewart,Stewart,James,1756-01-01,1,1827-05-20,0
750,Mr Francis Fane,Fane,Francis,1752-12-05,0,1813-11-10,0
751,Mr Cropley Ashley,Ashley,Cropley,1768-12-21,0,1851-06-02,0
752,Mr Francis John Brown,Brown,Francis,1754-10-04,0,1833-03-29,0
753,Mr William Morton Pitt,Pitt,William,1754-05-16,0,1836-02-29,0
754,Mr John Trevanion,Trevanion,John,1740-01-01,1,1810-04-21,0
755,Mr John Spencer Smith,Smith,John,1769-09-11,0,1845-06-05,0
756,Mr Charles Stewart Hawthorne,Hawthorne,Charles,1760-01-01,1,1831-12-31,1
757,Mr Edward Bouverie,Bouverie,Edward,1760-09-20,0,1824-12-30,0
758,Mr John William Ward,Ward,John,1781-08-09,0,1833-03-06,0
759,Mr Andrew Foley,Foley,Andrew,1748-01-01,1,1818-07-28,0
760,Sir Edward Winnington,Winnington,Edward,1749-11-14,0,1805-01-09,0
761,Mr John Latouche,Latouche,John,1774-01-01,1,1820-01-30,0
762,Mr Charles Hope,Hope,Charles,1763-06-29,0,1851-10-30,0
763,Sir Robert Laurie,Laurie,Robert,1738-01-01,1,1804-09-10,0
764,Sir James Colquhoun,Colquhoun,James,1774-09-28,0,1836-02-03,0
765,Mr Richard Archdall,Archdall,Richard,1746-01-01,1,1824-02-08,0
766,Mr George Knox,Knox,George,1765-01-14,0,1827-06-13,0
767,Mr William Greene,Greene,William,1748-01-17,0,1829-06-03,0
768,Mr Joshua Vanneck,Vanneck,Joshua,1745-12-31,0,1816-08-15,0
769,Mr Snowdon Barne,Barne,Snowdon,1756-12-26,0,1825-07-03,0
770,Mr Ralph John Lambton,Lambton,Ralph,1767-01-01,1,1844-07-29,0
771,Mr Richard Wharton,Wharton,Richard,1764-01-01,1,1828-10-21,0
772,Mr Rowland Burdon,Burdon,Rowland,1757-01-01,1,1838-09-17,0
773,Sir Ralph Milbanke,Milbanke,Ralph,1748-01-01,1,1825-03-19,0
774,Earl of Rosslyn (James St. Clair-Erskine),St. Clair-Erskine,James,1762-02-06,0,1837-01-18,0
775,Mr Daniel Giles,Giles,Daniel,1761-01-01,1,1831-12-27,0
776,Sir Henry Strachey,Strachey,Henry,1736-05-23,0,1810-01-03,0
777,Sir Edward Buller,Buller,Edward,1764-12-24,0,1824-04-15,0
778,Mr John Buller,Buller,John,1761-01-01,1,1807-05-03,0
779,Mr Robert Crauford,Crauford,Robert,1764-05-05,0,1812-01-24,0
780,Mr John Jaffray,Jaffray,John,,1,1832-04-01,0
781,Mr Henry Dundas,Dundas,Henry,1742-04-28,0,1811-05-29,0
782,Mr Robert Saunders-Dundas,Saunders-Dundas,Robert,1771-03-14,0,1851-06-10,0
783,Hon. Francis William Ogilvie-Grant,Ogilvie-Grant,Francis,1778-01-01,1,1853-12-31,1
784,Mr James Brodie,Brodie,James,1744-08-31,0,1824-01-17,0
785,Mr James Fitzgerald,Fitzgerald,James,1742-01-01,1,1835-01-22,0
786,Mr William Burroughs,Burroughs,William,1753-01-01,1,1829-06-01,0
787,Mr John Bullock,Bullock,John,1731-12-31,0,1809-12-28,0
788,Mr Eliab Harvey,Harvey,Eliab,1758-12-05,0,1830-02-20,0
789,Mr Charles Thellusson,Thellusson,Charles,1770-02-02,0,1815-11-02,0
790,Mr Patrick Crauford Bruce,Bruce,Patrick,1748-01-24,0,1820-03-30,0
791,Sir Charles Warwick Bampfylde,Bampfylde,Charles,1753-01-23,0,1823-04-19,0
792,Mr James Buller,Buller,James,1766-05-14,0,1827-08-18,0
793,Mr William Cornwallis,Cornwallis,William,1744-02-20,0,1819-07-05,0
794,Mr James Cornwallis,Cornwallis,James,1778-09-20,0,1852-05-21,0
795,Sir William Erskine,Erskine,William,1770-03-30,0,1813-05-14,0
796,Mr Watkin Williams,Williams,Watkin,1742-01-01,1,1808-11-30,0
797,Sir Thomas Mostyn,Mostyn,Thomas,1776-10-20,0,1831-04-17,0
798,Sir David Carnegie,Carnegie,David,1753-11-22,0,1805-05-25,0
799,Mr Reginald Pole Carew,Carew,Reginald,1753-07-28,0,1835-01-03,0
800,Mr Robert Wigram,Wigram,Robert,1744-01-30,0,1830-11-06,0
801,Mr Denis Bowes Daly,Daly,Denis,1745-01-01,1,1821-12-17,0
802,Mr James Dashwood,Dashwood,James,1758-01-01,1,1840-11-21,0
803,Sir Mark Wood,Wood,Mark,1750-03-16,0,1829-02-06,0
804,Mr Thomas Wyndham,Wyndham,Thomas,1763-01-01,1,1814-11-28,0
805,Mr Alexander Houstoun,Houstoun,Alexander,1770-01-01,1,1822-03-22,0
806,Mr John Pitt,Pitt,John,1727-01-01,1,1805-07-14,0
807,Mr Henry Thomas Howard,Howard,Henry,1766-10-07,0,1824-06-17,0
808,Mr George Cranfield Berkeley,Berkeley,George,1753-08-10,0,1818-02-25,0
809,Mr Henry Charles Somerset,Somerset,Henry,1766-12-22,0,1835-11-23,0
810,Sir Christopher Hawkins,Hawkins,Christopher,1758-05-01,0,1829-04-06,0
811,Mr Benjamin Hobhouse,Hobhouse,Benjamin,1757-03-29,0,1831-08-14,0
812,Mr Thomas Thoroton,Thoroton,Thomas,1752-01-01,1,1814-01-01,0
813,Sir William Earle Welby,Welby,William,1734-01-01,1,1815-11-06,0
814,Sir Robert John Buxton,Buxton,Robert,1753-10-27,0,1839-06-07,0
815,Sir Nathaniel Holland,Holland,Nathaniel,1735-05-18,0,1811-10-15,0
816,Mr Ayscoghe Boucherett,Boucherett,Ayscoghe,1755-04-16,0,1815-09-15,0
817,Mr John Henry Loft,Loft,John,1769-01-01,1,1843-07-13,0
818,Mr Owen Williams,Williams,Owen,1764-07-19,0,1832-02-23,0
819,Mr Pascoe Grenfell,Grenfell,Pascoe,1761-09-03,0,1838-01-23,0
820,Mr Thomas Jervis,Jervis,Thomas,1770-05-10,0,1838-08-06,0
821,Sir Thomas Troubridge,Troubridge,Thomas,1758-01-01,1,1807-02-01,0
822,Mr Thomas Onslow,Onslow,Thomas,1754-03-15,0,1827-02-22,0
823,Mr Chapple Norton,Norton,Chapple,1746-04-02,0,1818-03-19,0
824,Mr Thomas Maitland,Maitland,Thomas,1760-03-10,0,1824-01-17,0
825,Mr Charles Hope,Hope,Charles,1768-10-16,0,1828-07-01,0
826,Mr William John Chute,Chute,William,1757-05-24,0,1824-12-13,0
827,Sir William Heathcote,Heathcote,William,1746-06-21,0,1819-06-26,0
828,Mr John Robinson,Robinson,John,1727-07-15,0,1802-12-23,0
829,Mr Thomas Myers,Myers,Thomas,1764-07-26,0,1835-10-01,0
830,Mr George Wood,Wood,George,1743-02-13,0,1824-07-07,0
831,Mr Richard Penn,Penn,Richard,1734-01-01,1,1811-05-27,0
832,Mr Sylvester Douglas,Douglas,Sylvester,1743-05-24,0,1823-05-02,0
833,Mr William Edwardes,Edwardes,William,1777-04-24,0,1852-08-10,0
834,Mr Christopher Savile,Savile,Christopher,1739-01-01,1,1819-04-23,0
835,Mr George Johnstone,Johnstone,George,,1,,1
836,Mr James Edward Harris,Harris,James,1778-08-19,0,1841-09-10,0
837,Mr John Penn,Penn,John,1760-02-22,0,1834-06-21,0
838,Mr John Scudamore,Scudamore,John,1757-06-11,0,1805-04-12,0
839,Mr Thomas Powell Symonds,Symonds,Thomas,1762-01-01,1,1819-08-19,0
840,Sir George Cornewall,Cornewall,George,1748-11-05,0,1819-09-26,0
841,Mr Nicolson Calvert,Calvert,Nicolson,1764-05-15,0,1841-04-13,0
842,Mr Edward Spencer Cowper,Cowper,Edward,1779-07-16,0,1823-02-01,0
843,Mr William Plumer,Plumer,William,1736-05-24,0,1822-01-17,0
844,Mr Peniston Lamb,Lamb,Peniston,1770-05-03,0,1805-01-24,0
845,Mr John Hamilton Fitzmaurice,Fitzmaurice,John,1778-10-09,0,1820-11-23,0
846,Mr Charles Moore,Moore,Charles,1771-12-23,0,1826-12-14,0
847,Mr Francis Ferrand Foljambe,Foljambe,Francis,1750-01-17,0,1814-11-13,0
848,Mr John Pedley,Pedley,John,1762-01-01,1,1838-07-22,0
849,Mr Thomas Wallace,Wallace,Thomas,1768-01-01,1,1844-02-23,0
850,Mr George Shum,Shum,George,1751-11-01,0,1805-02-28,0
851,Sir John Honywood,Honywood,John,1757-01-01,1,1806-03-29,0
852,Mr Edward Hilliard,Hilliard,Edward,1754-01-01,1,1815-12-18,0
853,Mr Patrick Ross,Ross,Patrick,1740-01-01,1,1804-08-24,0
854,Mr John Calvert,Calvert,John,1758-01-01,1,1844-06-02,0
855,Mr William Henry Fellowes,Fellowes,William,1769-07-15,0,1837-08-23,0
856,Mr George John Montagu,Montagu,George,1773-02-04,0,1818-05-21,0
857,Lord Frederick Montagu,Montagu,Frederick,1774-11-08,0,1827-10-04,0
858,Mr Thomas Godfrey,Godfrey,Thomas,1751-08-27,0,1810-03-07,0
859,Mr Matthew White,White,Matthew,1766-01-01,1,1840-03-11,0
860,Mr William Hunter,Hunter,William,1769-01-01,1,1815-05-31,0
861,Mr Thomas Plummer,Plummer,Thomas,1749-01-01,1,1818-04-04,0
862,Mr Alexander Penrose Cumming-Gordon,Cumming-Gordon,Alexander,1749-05-19,0,1806-02-10,0
863,Mr Charles Grant,Grant,Charles,1746-03-01,0,1823-10-31,0
864,Mr Charles Alexander Crickett,Crickett,Charles,1736-01-12,0,1803-01-16,0
865,Sir Andrew Snape Hamond,Hamond,Andrew,1738-12-28,0,1828-10-12,0
866,Sir William Geary,Geary,William,1756-09-23,0,1825-08-06,0
867,Mr Filmer Honywood,Honywood,Filmer,1745-01-01,1,1809-06-02,0
868,Lord Robert Stephen Fitzgerald,Fitzgerald,Robert,1765-01-15,0,1833-01-02,0
869,Mr Robert Latouche,Latouche,Robert,1773-01-01,1,1844-05-22,0
870,Mr Charles Harward Butler,Butler,Charles,1780-11-09,0,1860-11-07,0
871,Sir John Wishart Belsches,Belsches,John,1752-01-01,1,1821-12-04,0
872,Mr Thomas Bernard,Bernard,Thomas,1769-01-01,1,1834-05-18,0
873,Mr Horatio Walpole,Walpole,Horatio,1752-06-13,0,1822-06-15,0
874,Sir Martin Browne Ffolkes,Ffolkes,Martin,1749-05-01,0,1821-12-11,0
875,Mr Samuel Thornton,Thornton,Samuel,1754-11-06,0,1838-07-03,0
876,Mr John Staniforth,Staniforth,John,,1,1830-03-30,0
877,Mr Samuel Campbell Rowley,Rowley,Samuel,1774-01-19,0,1846-01-28,0
878,Mr Patrick Heron,Heron,Patrick,1735-01-01,1,1803-06-09,0
879,Mr James Hare,Hare,James,1747-04-09,0,1804-03-17,0
880,Lord John Townshend,Townshend,John,1757-01-19,0,1833-02-25,0
881,Mr William Dickson,Dickson,William,1748-06-03,0,1815-05-18,0
882,Lord Archibald Hamilton,Hamilton,Archibald,1770-03-06,0,1827-08-28,0
883,Mr Thomas Stanley,Stanley,Thomas,1749-09-14,0,1816-12-25,0
884,Mr John Blackburne,Blackburne,John,1754-08-05,0,1833-04-11,0
885,Mr John Dent,Dent,John,1761-01-01,1,1826-11-14,0
886,Mr Alexander Hamilton,Hamilton,Alexander,1767-10-03,0,1852-08-18,0
887,Mr James Brogden,Brogden,James,1765-01-01,1,1842-07-24,0
888,Mr Richard Henry Alexander Bennet,Bennet,Richard,1771-01-01,1,1818-10-11,0
889,Mr Samuel Smith,Smith,Samuel,1754-04-14,0,1834-03-12,0
890,Mr Thomas Babington,Babington,Thomas,1758-12-18,0,1837-11-21,0
891,Mr George Anthony Legh-Keck,Legh-Keck,George,1774-07-15,0,1860-09-04,0
892,Sir Edmund Cradock-Hartopp,Cradock-Hartopp,Edmund,1749-04-21,0,1833-06-10,0
893,Mr Peter Latouche,Latouche,Peter,1775-01-01,1,1830-02-11,0
894,Mr Charles Kinnaird,Kinnaird,Charles,1780-04-12,0,1826-12-12,0
895,Mr John Lubbock,Lubbock,John,1744-08-20,0,1816-02-24,0
896,Lord Francis Godolphin Osborne,Osborne,Francis,1777-10-18,0,1850-02-15,0
897,Mr Henry Shelley,Shelley,Henry,1767-04-12,0,1811-12-31,0
898,Mr Thomas Anson,Anson,Thomas,1767-02-14,0,1818-07-31,0
899,Sir John Wrottesley,Wrottesley,John,1771-01-01,1,1841-12-31,1
900,Mr Charles Vereker,Vereker,Charles,1768-01-01,1,1842-11-11,0
901,Mr Charles Silver Oliver,Oliver,Charles,1763-01-01,1,1817-10-10,0
902,Mr Richard Ellison,Ellison,Richard,1754-01-01,1,1827-07-07,0
903,Mr Humphrey Sibthorp,Sibthorp,Humphrey,1744-10-03,0,1815-04-25,0
904,Sir Gilbert Heathcote,Heathcote,Gilbert,1773-01-01,1,1851-12-31,1
905,Mr Charles Chaplin,Chaplin,Charles,1759-05-30,0,1816-08-28,0
906,Mr Francis Charles Seymour-Conway,Seymour-Conway,Francis,1777-03-11,0,1842-03-01,0
907,Mr John Eliot,Eliot,John,1761-09-30,0,1823-11-17,0
908,Mr William Eliot,Eliot,William,1767-04-01,0,1845-01-19,0
909,Mr Banastre Tarleton,Tarleton,Banastre,1754-08-21,0,1833-01-23,0
910,Mr Isaac Gascoyne,Gascoyne,Isaac,1763-01-01,1,1841-08-26,0
911,Sir George Fitzgerald Hill,Hill,George,1763-06-01,0,1839-03-08,0
912,Lord George Thomas Beresford,Beresford,George,1781-02-12,0,1839-10-26,0
913,Mr Thomas Gleadowe-Newcomen,Gleadowe-Newcomen,Thomas,1776-09-18,0,1825-01-15,0
914,Mr Hans Sloane,Sloane,Hans,1739-11-14,0,1827-12-31,1
915,Mr William Dickinson,Dickinson,William,1771-11-01,0,1837-01-19,0
916,Mr Thomas Everett,Everett,Thomas,1740-01-01,1,1810-02-08,0
917,Mr Charles William Henry Montagu Scott,Scott,Charles,1772-05-24,0,1819-04-20,0
918,Mr Richard Payne Knight,Knight,Richard,1750-01-01,1,1824-04-23,0
919,Mr Robert Clive,Clive,Robert,1769-08-30,0,1833-07-28,0
920,Mr Thomas Fane,Fane,Thomas,1760-07-06,0,1807-04-15,0
921,Mr Henry Fane,Fane,Henry,1778-11-26,0,1840-03-24,0
922,Mr William Manning,Manning,William,1763-12-01,0,1835-04-17,0
923,Mr John Kingston,Kingston,John,1736-01-01,1,1820-12-31,1
924,Sir Matthew Bloxham,Bloxham,Matthew,1744-08-10,0,1822-10-16,0
925,Mr John Hodsdon Durand,Durand,John,1761-01-01,1,1830-02-28,0
926,Mr Joseph Holden Strutt Charles Callis Western,Western,Joseph,1758-11-21,0,1845-02-18,0
927,Mr Denham Jephson,Jephson,Denham,1748-01-01,1,1813-05-09,0
928,Mr Claude Scott,Scott,Claude,1742-05-11,0,1830-03-27,0
929,Mr Samuel Scott,Scott,Samuel,1772-04-29,0,1849-09-30,0
930,Mr Bryan Cooke,Cooke,Bryan,1756-06-08,0,1821-11-08,0
