office_id,official_post,real_name,honorary_title,party,started_service,ended_service,details
1,Chancellor of the Exchequer,Francis Baring,3rd Baronet,Whig,1839/08/26,1841/08/30,"From 1848-1866 he was a thrid Baronet, after that in 1866 he was promoted to 1st Baron Northbrook."
1,Chancellor of the Exchequer,Henry Goulburn,N/A,Conservative,1841/09/03,1846/06/27,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Charles Wood,3rd Baronet,Whig,1846/07/07,1852/02/21,"Was a Baronet from 1846 - 1866, was granted the peerage title 1st Viscount Halifax in 1866, of Monk Bretton in York county."
1,Chancellor of the Exchequer,Benjamin Disraeli,N/A,Conservative,1852/02/27,1852/12/17,granted the title 1st Earl of Beaconsfield by Queen Victoria in 1876 after his term in office as Chancellor.
1,Chancellor of the Exchequer,William Ewart Gladstone,N/A,Peelite,1852/12/28,1855/02/28,Nothing noteworthy to report.
1,Chancellor of the Exchequer,George Cornewall Lewis,2nd Baronet,Whig,1855/02/28,1858/02/21,Was raised to Baronet in 1846.
1,Chancellor of the Exchequer,Benjamin Disraeli,N/A,Conservative,1858/02/26,1859/06/11,granted the title 1st Earl of Beaconsfield by Queen Victoria in 1876 after his term in office as Chancellor.
1,Chancellor of the Exchequer,Willam Ewart Gladstone,N/A,Liberal,1859/06/18,1866/06/26,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Benjamin Disraeli,N/A,Conservative,1866/07/06,1868/02/29,granted the title 1st Earl of Beaconsfield by Queen Victoria in 1876 after his term in office as Chancellor.
1,Chancellor of the Exchequer,George Ward Hunt,N/A,Conservative,1868/02/29,1868/12/01,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Robert Lowe,N/A,Liberal,1868/12/09,1873/08/11,Was granted the title 1st Viscount Sherbrooke on May 25 1880 by Queen Victoria in the London Gazette. 
1,Chancellor of the Exchequer,Willam Ewart Gladstone,N/A,Liberal,1873/08/11,1874/02/17,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Stafford Northcote,N/A,Conservative,1874/02/21,1880/04/21,1st Earl of Iddesleigh in 1885.
1,Chancellor of the Exchequer,Willam Ewart Gladstone,N/A,Liberal,1880/04/28,1882/12/16,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Hugh Childers,N/A,Liberal,1882/12/16,1885/06/09,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Michael Hicks Beach,9th Baronet,Conservative,1885/06/24,1886/01/28,"Succeeded his father in becoming 9th Baronet in 1854. ""In 1906 he was raised to the peerage as Viscount St Aldwyn, of Coln St Aldwyn, in the County of Gloucester, and in 1915 he was further honoured when he was made Viscount Quenington, of Quenington, in the County of Gloucester, and Earl St Aldwyn, of Coln St Aldwyn, in the County of Gloucester"" (Wikipedia source: London Gazette)."
1,Chancellor of the Exchequer,Willam Harcourt,N/A,Liberal,1886/02/06,1886/07/20,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Randolph Churchill,N/A,Conservative,1886/08/03,1886/12/22,Nothing noteworthy to report.
1,Chancellor of the Exchequer,George Goschen,N/A,Liberal Unionist,1887/01/14,1892/08/11,"He retired in 1900 and was raised to the peerage as (1st) Viscount Goschen of Hawkhurst, Kent."
1,Chancellor of the Exchequer,William Harcourt,N/A,Liberal,1892/08/18,1895/06/21,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Michael Hicks Beach,9th Baronet,Conservative,1895/06/29,1902/08/11,"Succeeded his father in becoming 9th Baronet in 1854. ""In 1906 he was raised to the peerage as Viscount St Aldwyn, of Coln St Aldwyn, in the County of Gloucester, and in 1915 he was further honoured when he was made Viscount Quenington, of Quenington, in the County of Gloucester, and Earl St Aldwyn, of Coln St Aldwyn, in the County of Gloucester"" (Wikipedia source: London Gazette)."
1,Chancellor of the Exchequer,Charles Ritchie,N/A,Conservative,1902/08/11,1903/10/09,"In 1905, he was created a peerage, Baron Ritchie of Dundee."
1,Chancellor of the Exchequer,Austen Chamberlain,N/A,Liberal Unionist,1903/10/09,1905/12/04,Nothing noteworthy to report.
1,Chancellor of the Exchequer,H. H. Asquith,N/A,Liberal,1905/12/10,1908/04/16,1925 accepted peerage as the Earl of Oxford and Asquith.
1,Chancellor of the Exchequer,David Lloyd George,N/A,Liberal,1908/04/16,1915/05/25,"Was  granted a peerage but died before he could take his place in the House of Lords, 1st Earl Lloyd-George of Dwyfor and Viscount Gwynedd."
