corresponding_id,alias,real_name,start,end,details,links
,mr william rutherford,Watson Rutherford,1903/01/20,1918/12/14,Liverpool West Derby,
,mr william rutherford,Watson Rutherford,1918/12/14,1922/11/15,Liverpool Edge Hill,
,mr william rutherford,Watson Rutherford,1922/11/15,1923/02/15,Liverpool Edge Hill,
,mr alderman thompson,William Thompson,1904/12/30,1905/01/06,Lloyds of London,
,mr alderman thompson,William Thompson,1904/12/30,1905/01/02,Treasurer of Bank of England,
,mr alderman thompson,William Thompson,1905/01/02,1905/01/16,VP,
,mr alderman thompson,William Thompson,1905/01/16,1905/01/27,President,
,mr alderman thompson,William Thompson,1905/01/01,1905/01/27,Treasurer of King's College,
,mr alderman thompson,William Thompson,1905/01/02,1905/01/27,President of Christ's Hospital,
,mr serjeant shee,William Shee,1852/07/07,1857/03/27,Kilkenny,
,mr mac iver,David MacIver,1874/01/31,1885/11/24,Birkenhead,
,mr mac iver,David MacIver,1898/12/09,1907/09/01,"Liverpool Kirkdale, died in service",
6405,mr lloyd george,David Lloyd George,1905/03/19,1905/03/22,President of the Board of Trade,
6405,mr lloyd george,David Lloyd George,1905/03/22,1905/03/29,Chancellor of the Exchequer,
6405,mr lloyd george,David Lloyd George,1905/03/29,1905/03/30,Minister of Munitions,
6405,mr lloyd george,David Lloyd George,1905/03/30,1905/03/30,Secretary of State for War,
6405,mr lloyd george,David Lloyd George,1905/03/30,1905/04/05,Prime Minister,
6405,mr lloyd george,David Lloyd George,1905/04/12,1905/04/28,,
12948,Colonel Pakenham,Edward Michael Pakenham,1778/03/19,1815/01/08,Is Colonel Pakenford who died in the Battle of New Orleans and so was only mentioned in a few speeches in 1815,https://en.wikipedia.org/wiki/Edward_Pakenham
